sample	Transcript_ID_clean	gene_id	gene_name	TPM	expression_rank_percentile	expression_rank_desc	Amyloid_Index_max	Consensus_collapsed	n_protein_variants	Group	raw_Group	subject	time	batch
SRR32060276	ENST00000008440	ENSG00000010072.16	SPRTN	1.7259399890899658	0.8374008269080344	14552.0	0.4082740993089377	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000238892	ENSG00000119878.7	CRIPT	15.088700294494629	0.9511006816404067	4377.0	-1.2676476113115833	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000242719	ENSG00000123091.5	RNF11	46.008201599121094	0.9816962789138451	1639.0	-0.5866310607129559	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000281950	ENSG00000152147.11	GEMIN6	20.50659942626953	0.9625879986590681	3349.0	-0.050913492967208075	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000311672	ENSG00000173660.12	UQCRH	52.61320114135742	0.9835624092077327	1472.0	-1.872207484669723	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000333610	ENSG00000183891.6	TTC32	12.180500030517578	0.9420549782098558	5186.5	-0.6209823790261908	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000334351	ENSG00000189266.13	PNRC2	21.0851993560791	0.9632472902000223	3290.0	-1.518795248925298	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000356442	ENSG00000115216.14	NRBP1	35.966400146484375	0.9768130517376243	2076.0	-2.0256192538552567	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000362052	ENSG00000143420.19	ENSA	2.9583499431610107	0.8655995083249525	12028.5	-0.2753755653217751	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000366839	ENSG00000143742.14	SRP9	15.460700035095215	0.9520616828695944	4291.0	0.8031186167549457	Amyloid	1.0	TOL	chili	N132	BC	4
